,path,plot_center_x,plot_center_y,tree_density,average_height,year,site,geometry,nlcd
0,/orange/idtrees-collab/draped/2018_DSNY_4_456000_3103000_image.shp,456780.26854180155,3103646.7364931908,0,,2018,DSNY,POINT (456780.2685418015 3103646.736493191),11
1,/orange/idtrees-collab/draped/2018_DSNY_4_458000_3104000_image.shp,458101.7157907899,3104974.797034733,45,15.668777763578627,2018,DSNY,POINT (458101.7157907899 3104974.797034733),90
2,/orange/idtrees-collab/draped/2018_DSNY_4_457000_3111000_image.shp,457054.99932494905,3111970.933314167,2,9.586000084877014,2018,DSNY,POINT (457054.9993249491 3111970.933314167),90
3,/orange/idtrees-collab/draped/2018_DSNY_4_463000_3103000_image.shp,463506.6494742964,3103239.554197379,1,6.378099861145018,2018,DSNY,POINT (463506.6494742964 3103239.554197379),81
4,/orange/idtrees-collab/draped/2018_DSNY_4_453000_3112000_image.shp,453150.33032152936,3112086.931982065,2,7.679350020885468,2018,DSNY,POINT (453150.3303215294 3112086.931982065),22
5,/orange/idtrees-collab/draped/2018_DSNY_4_461000_3104000_image.shp,461650.14414509357,3104569.9154118127,15,21.672100009282428,2018,DSNY,POINT (461650.1441450936 3104569.915411813),90
6,/orange/idtrees-collab/draped/2018_DSNY_4_460000_3104000_image.shp,460314.6242987508,3104833.2415697183,16,17.29064387440681,2018,DSNY,POINT (460314.6242987508 3104833.241569718),90
7,/orange/idtrees-collab/draped/2018_DSNY_4_457000_3108000_image.shp,457310.05530029495,3108647.854517297,29,14.083113866674488,2018,DSNY,POINT (457310.0553002949 3108647.854517297),90
8,/orange/idtrees-collab/draped/2018_DSNY_4_457000_3102000_image.shp,457511.1061662083,3102359.1042487193,22,14.943690835345874,2018,DSNY,POINT (457511.1061662083 3102359.104248719),90
9,/orange/idtrees-collab/draped/2018_DSNY_4_452000_3113000_image.shp,452903.1736415133,3113892.941574978,0,,2018,DSNY,POINT (452903.1736415133 3113892.941574978),42
10,/orange/idtrees-collab/draped/2018_DSNY_4_457000_3113000_image.shp,457021.6222747841,3113472.2083923486,31,18.677300056949736,2018,DSNY,POINT (457021.6222747841 3113472.208392349),90
11,/orange/idtrees-collab/draped/2018_DSNY_4_452000_3113000_image.shp,452866.98237828346,3113251.5255915537,1,7.963899989128112,2018,DSNY,POINT (452866.9823782835 3113251.525591554),90
12,/orange/idtrees-collab/draped/2018_DSNY_4_456000_3113000_image.shp,456097.8002911385,3113211.689360499,2,8.918099961280824,2018,DSNY,POINT (456097.8002911385 3113211.689360499),24
