,Site,mean,lower,upper
0,ABBY,1071.5172413793102,501.55,2070.0
1,BART,14.30232558139535,1.25,41.5
2,BONA,277.97297297297297,13.400000000000002,997.7999999999997
3,CLBJ,35.024,3.0,116.19999999999997
4,DEJU,50.257861635220124,1.9000000000000004,203.99999999999994
5,DELA,161.0,161.0,161.0
6,DSNY,137.43703703703704,8.7,546.5
7,HARV,34.47727272727273,6.0,87.24999999999997
8,HEAL,87.31313131313131,2.0,293.9
9,JERC,183.37313432835822,19.35,439.0
10,JORN,33.470588235294116,5.0,94.2
11,KONZ,31.636363636363637,1.0,66.09999999999997
12,LENO,93.82758620689656,19.0,279.99999999999994
13,MOAB,9.382352941176471,1.0,30.249999999999993
14,NIWO,86.73451327433628,6.6000000000000005,215.99999999999994
15,OAES,2.8,1.0,8.0
16,OSBS,110.51533742331289,20.5,271.8
17,SJER,50.03370786516854,16.0,108.0
18,SOAP,199.76767676767676,23.5,429.1
19,SRER,14.093959731543624,1.0,53.799999999999955
20,TALL,241.87037037037038,95.95,424.94999999999993
21,TEAK,193.22619047619048,75.35,485.8000000000003
22,WREF,91.421768707483,7.300000000000001,291.49999999999983
23,YELL,119.07142857142857,6.75,281.75
