,path,plot_center_x,plot_center_y,tree_density,average_height,year,site,geometry,nlcd
0,/orange/idtrees-collab/draped/2019_CLBJ_4_627000_3696000_image.shp,627219.7889590648,3696844.7428053333,12,8.585577522913615,2019,CLBJ,POINT (627219.7889590648 3696844.742805333),41
1,/orange/idtrees-collab/draped/2019_CLBJ_4_629000_3691000_image.shp,629248.02882912,3691108.3321073563,0,,2019,CLBJ,POINT (629248.02882912 3691108.332107356),71
2,/orange/idtrees-collab/draped/2019_CLBJ_4_633000_3698000_image.shp,633318.8289915338,3698472.679999986,0,,2019,CLBJ,POINT (633318.8289915338 3698472.679999986),71
3,/orange/idtrees-collab/draped/2019_CLBJ_4_625000_3697000_image.shp,625799.8750002623,3697202.873655326,7,8.06095849956785,2019,CLBJ,POINT (625799.8750002623 3697202.873655326),71
4,/orange/idtrees-collab/draped/2019_CLBJ_4_629000_3687000_image.shp,629603.2532424027,3687696.406004484,0,,2019,CLBJ,POINT (629603.2532424027 3687696.406004484),21
5,/orange/idtrees-collab/draped/2019_CLBJ_4_633000_3692000_image.shp,633211.919965158,3692514.566647082,9,8.525571059650844,2019,CLBJ,POINT (633211.919965158 3692514.566647082),41
6,/orange/idtrees-collab/draped/2019_CLBJ_4_633000_3696000_image.shp,633741.2242181039,3696828.456691852,8,12.746676154136658,2019,CLBJ,POINT (633741.2242181039 3696828.456691852),71
7,/orange/idtrees-collab/draped/2019_CLBJ_4_628000_3697000_image.shp,628173.0264202098,3697545.4088588855,13,9.98446225459759,2019,CLBJ,POINT (628173.0264202098 3697545.408858886),21
8,/orange/idtrees-collab/draped/2019_CLBJ_4_626000_3698000_image.shp,626704.4679842892,3698161.888982459,28,12.365935748304642,2019,CLBJ,POINT (626704.4679842892 3698161.888982459),41
9,/orange/idtrees-collab/draped/2019_CLBJ_4_633000_3688000_image.shp,633761.1060897415,3688890.6928643724,21,9.46507910024552,2019,CLBJ,POINT (633761.1060897415 3688890.692864372),41
10,/orange/idtrees-collab/draped/2019_CLBJ_4_630000_3694000_image.shp,630088.8197371962,3694129.779667776,22,14.688704564788122,2019,CLBJ,POINT (630088.8197371962 3694129.779667776),41
11,/orange/idtrees-collab/draped/2019_CLBJ_4_626000_3690000_image.shp,626237.0092079283,3690456.153951907,0,,2019,CLBJ,POINT (626237.0092079283 3690456.153951907),71
12,/orange/idtrees-collab/draped/2019_CLBJ_4_625000_3688000_image.shp,625868.5800966467,3688568.016153584,21,8.8180790692284,2019,CLBJ,POINT (625868.5800966467 3688568.016153584),41
13,/orange/idtrees-collab/draped/2019_CLBJ_4_628000_3690000_image.shp,628545.7220417786,3690374.435422857,2,7.009770052433014,2019,CLBJ,POINT (628545.7220417786 3690374.435422857),71
14,/orange/idtrees-collab/draped/2019_CLBJ_4_624000_3691000_image.shp,624881.3326836575,3691222.373324762,21,12.495528566950846,2019,CLBJ,POINT (624881.3326836575 3691222.373324762),41
15,/orange/idtrees-collab/draped/2019_CLBJ_4_624000_3690000_image.shp,624083.8744957094,3690344.6941130473,0,,2019,CLBJ,POINT (624083.8744957094 3690344.694113047),81
16,/orange/idtrees-collab/draped/2019_CLBJ_4_628000_3689000_image.shp,628395.3231329552,3689053.712309897,18,7.240155575142968,2019,CLBJ,POINT (628395.3231329552 3689053.712309897),71
17,/orange/idtrees-collab/draped/2019_CLBJ_4_634000_3691000_image.shp,634840.7001677436,3691834.851921426,0,,2019,CLBJ,POINT (634840.7001677436 3691834.851921426),71
18,/orange/idtrees-collab/draped/2019_CLBJ_4_628000_3689000_image.shp,628104.1262074572,3689149.225698213,0,,2019,CLBJ,POINT (628104.1262074572 3689149.225698213),81
19,/orange/idtrees-collab/draped/2019_CLBJ_4_626000_3690000_image.shp,626359.0445483397,3690365.6392168636,4,5.122647541761398,2019,CLBJ,POINT (626359.0445483397 3690365.639216864),71
20,/orange/idtrees-collab/draped/2019_CLBJ_4_627000_3692000_image.shp,627778.5264706536,3692378.028027588,6,11.9872251367569,2019,CLBJ,POINT (627778.5264706536 3692378.028027588),81
21,/orange/idtrees-collab/draped/2019_CLBJ_4_627000_3695000_image.shp,627862.697583706,3695134.1982776565,0,,2019,CLBJ,POINT (627862.697583706 3695134.198277656),71
