,ABBY,ABBY,BART,BART,BLAN,BONA,BONA,CLBJ,CLBJ,CUPE,DEJU,DEJU,DELA,DELA,DSNY,DSNY,GRSM,GUAN,GUIL,HARV,HARV,HEAL,HEAL,HOPB,JERC,JERC,JORN,JORN,KONZ,KONZ,LAJA,LENO,LENO,MLBS,MOAB,MOAB,NIWO,NIWO,NOGP,OAES,OAES,OSBS,OSBS,PUUM,REDB,RMNP,SCBI,SERC,SJER,SJER,SOAP,SOAP,SRER,SRER
,2018,2019,2018,2019,2019,2018,2019,2018,2019,2018,2018,2019,2018,2019,2018,2019,2018,2018,2018,2018,2019,2018,2019,2019,2018,2019,2018,2019,2018,2019,2018,2018,2019,2018,2018,2019,2018,2019,2019,2018,2019,2018,2019,2019,2019,2018,2019,2019,2018,2019,2018,2019,2018,2019
intercept,1.3470610093574815,0.7672307734270574,0.6960479220679452,0.08983694352251659,2.0238102611742796,0.04967971899269297,0.31304434970980566,1.1652297751790472,1.3599006978731167,1.450634859886233,0.40118275764677325,0.8778428203195373,1.86456587271449,1.3366135373562595,1.5420353798333293,1.5655766491048015,0.84470360984705,1.263403644990519,1.4135634033937017,0.7711063139671781,0.710651089761325,0.8156619907894149,0.7743358115379495,1.069722616236614,0.7372809490522156,0.9033836018628514,2.612429926306853,1.9724813689573901,1.9610379783984355,1.8056938232428181,1.6485116953842627,0.5104702522735018,1.6923896336757407,1.5660050957316431,1.4337150165084531,1.3085423513291374,0.42576327416545934,0.5470096735643396,1.9554140480810376,1.3958572825007616,1.8418586806042612,1.1510666980900561,0.6985414960297207,1.2642439718632987,1.2701593665438489,0.3589367552779885,1.4871376087001025,1.7157978569957844,1.5002330522017067,1.330486263121376,1.8421001732406705,1.4256749798729635,2.416943661464082,1.98258064354361
slope,0.41601370169349733,0.6180126078690045,0.7388412686789019,0.8952786887505032,0.3410382221396594,0.8557523195494788,0.7184670600841022,0.7679099780847791,0.6844242221615969,0.3197045282946485,0.6291931437072419,0.421635493045178,0.45964593321048325,0.4530263757359053,0.4442647227828307,0.37587368377145075,0.6190259923555194,0.6473940894496438,0.36331901989383153,0.6724116768800197,0.6719834029009552,0.5412801233879001,0.5439081461650536,0.606803541023234,0.801315578674391,0.7467654898879844,-0.05565904502486217,0.42926459135710965,0.40498024063675164,0.3590447371009245,0.43442068673982204,0.6878033213675225,0.39724102408688433,0.4750447556575104,0.9347060567953395,0.6644330021799578,0.44152783864900025,0.42547043627880154,0.4290722055149288,0.8073314142767085,0.5117356633175535,0.5813498746624997,0.693329287387282,0.470553833315353,0.5014537921593475,0.5668536667261743,0.44004075425582734,0.35122833849812823,0.9593299260716193,0.8313245751771546,0.40235008088736696,0.43759530487946363,0.06878137067910861,0.34580761974438246
min_height,3.000000023841858,3.000000028610229,3.00149998664856,3.000099992752075,3.000199978351593,3.000099949836731,3.000000059604645,3.000000011920929,3.000000076293945,3.000199983119964,3.000099968910217,3.000000095367431,3.009450082778931,3.000099992752075,3.000099992752075,3.000009949207306,3.000430030822754,3.000099992752075,3.000399985313416,3.000099992752075,3.000199990272522,3.000099992752075,3.000099966526031,3.001599991321564,3.000199978351593,3.000009951591492,3.000180068016052,3.003899991512299,3.000099992752075,3.000000059604645,3.000099992752075,3.000030040740967,3.000099992752075,3.000039925575256,3.000000023841858,3.000000009536743,3.000000021457673,3.000000092983246,3.00003002166748,3.000199985504151,3.000039961338043,3.000099999904633,3.000000023841858,3.000099918842315,3.000179901123047,3.000000081062316,3.00019998550415,3.000199990272522,3.000050091743469,3.000099999904633,3.000099992752075,3.000099992752075,3.000000004768371,3.000099992752075
max_height,51.00817731857301,48.64123415985107,29.155000079154966,28.984499740600583,35.119998931884766,22.06601037883755,21.829600421905518,19.484900636291467,19.373817974090564,23.881299819755554,18.693459041213973,17.54889948043823,26.33443943023682,33.49599458312988,26.552799740600584,26.793736356735238,43.12683207054138,17.13002296581268,28.769599349975586,32.07620084381104,32.1392003326416,16.31283989639279,16.14564023590087,32.10648106880188,29.62620056152344,29.228466843414306,18.6942454154968,20.540550131607056,28.370815837097183,28.320931308746367,22.260000228881836,37.01980937805175,35.839100336074836,34.3270057861328,12.151335938453677,15.225360310077669,20.007422302246084,19.958080909919723,23.873663999938973,20.339242786407468,19.222412652969375,27.30802782516477,26.598468074798586,43.37039971008301,33.614713138580335,19.0593444252014,39.20849916076661,41.18909894256592,23.262010688781743,22.81388005447389,45.43863958854669,43.96733389282227,19.246606839752197,8.658441876029972
R2,0.19267243273162138,0.40502792069093474,0.1508733626515788,0.1844623396793944,0.05307663025910647,0.3648985160438091,0.22331202893394708,0.151764983461954,0.149649175915061,0.03297574757874966,0.1450509348201483,0.07097203730247748,0.07270334569360404,0.11501743393411756,0.08692001229125157,0.060089888703427796,0.09304120216241052,0.1092641941375545,0.045294386722057434,0.08631179792296684,0.09353735270657237,0.10681943158508234,0.1154982385560116,0.07274999951415395,0.23346117643137976,0.18867818061261565,0.0011247392418173296,0.05520329510200506,0.07459534268851553,0.050353508616492015,0.07523373271331202,0.22874976126450697,0.10492602902372583,0.05934068006264437,0.14581076846931917,0.06757986900213686,0.09337922994862369,0.08723406755345164,0.09754866176886812,0.150574480771699,0.10278339971389594,0.11717434040617425,0.15958008584824213,0.09443069009488025,0.0714340850479116,0.09689662606932659,0.07450068577525304,0.04245403063515951,0.19092629969316965,0.12194373224659294,0.09789200727561109,0.14372374898508256,0.001052097230466842,0.01429440856277453
n,4266506.0,1707413.0,3426180.0,4283242.0,1586632.0,6994996.0,8096746.0,1928687.0,2201225.0,700294.0,3502842.0,3967424.0,18701.0,2637705.0,2185265.0,3204106.0,3678568.0,1334078.0,771495.0,7157481.0,8830221.0,1185933.0,1297481.0,460919.0,3667641.0,3421445.0,1298.0,299.0,1563193.0,1787368.0,862218.0,943929.0,2889984.0,4194877.0,263903.0,335326.0,7055425.0,7133224.0,282313.0,51494.0,318099.0,3468873.0,5133581.0,6468887.0,236647.0,9148241.0,2917297.0,1886265.0,335680.0,371561.0,703954.0,729867.0,2081428.0,777959.0
