,Unnamed: 0,path,plot_center_x,plot_center_y,tree_density,average_height,year,site,geometry,nlcd
0,0,/orange/idtrees-collab/draped/2018_MLBS_3_543000_4141000_image.shp,543277.7665147049,4141531.928734515,22,24.93269951386885,2018,MLBS,POINT (543277.7665147049 4141531.928734515),41
1,1,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4139000_image.shp,544447.6707651233,4139253.520786585,14,19.15511789049421,2018,MLBS,POINT (544447.6707651233 4139253.520786585),41
2,2,/orange/idtrees-collab/draped/2018_MLBS_3_546000_4137000_image.shp,546072.259544569,4137266.934594138,17,28.210511874030622,2018,MLBS,POINT (546072.259544569 4137266.934594138),41
3,3,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4136000_image.shp,544446.5513902089,4136729.856920591,26,20.00406762233148,2018,MLBS,POINT (544446.5513902089 4136729.856920591),41
4,4,/orange/idtrees-collab/draped/2018_MLBS_3_546000_4132000_image.shp,546583.851653951,4132968.559695562,0,,2018,MLBS,POINT (546583.851653951 4132968.559695562),81
5,5,/orange/idtrees-collab/draped/2018_MLBS_3_538000_4136000_image.shp,538115.398609865,4136835.291698396,23,27.55537869577823,2018,MLBS,POINT (538115.398609865 4136835.291698396),41
6,6,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4135000_image.shp,544396.2527576657,4135182.902073101,15,29.932088651021324,2018,MLBS,POINT (544396.2527576657 4135182.902073101),41
7,7,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4139000_image.shp,537583.3340232718,4139859.7567736087,22,33.2127675039118,2018,MLBS,POINT (537583.3340232718 4139859.756773609),41
8,8,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4138000_image.shp,545236.9321419565,4138956.173933595,15,24.04380742645264,2018,MLBS,POINT (545236.9321419565 4138956.173933595),41
9,9,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4141000_image.shp,540488.6745366182,4141232.3730175276,21,17.045361321313038,2018,MLBS,POINT (540488.6745366182 4141232.373017528),41
10,10,/orange/idtrees-collab/draped/2018_MLBS_3_539000_4140000_image.shp,539549.7468923787,4140756.279038648,21,31.017787124088827,2018,MLBS,POINT (539549.7468923787 4140756.279038648),41
11,11,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4142000_image.shp,544982.9333125366,4142981.519291695,20,27.860730911254894,2018,MLBS,POINT (544982.9333125366 4142981.519291695),43
12,12,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4132000_image.shp,540078.0125505122,4132620.210006124,20,13.372111995697026,2018,MLBS,POINT (540078.0125505122 4132620.210006124),41
13,13,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4140000_image.shp,541653.2518473457,4140089.976945971,18,18.778966025246515,2018,MLBS,POINT (541653.2518473457 4140089.976945971),41
14,14,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4134000_image.shp,541761.0932891378,4134630.535861208,19,12.277223709006055,2018,MLBS,POINT (541761.0932891378 4134630.535861208),41
15,15,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4141000_image.shp,537705.241243487,4141508.925698584,26,26.410158130205595,2018,MLBS,POINT (537705.241243487 4141508.925698584),41
16,16,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4131000_image.shp,545645.8524283925,4131237.407040923,0,,2018,MLBS,POINT (545645.8524283925 4131237.407040923),81
17,17,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4138000_image.shp,541010.5292544134,4138959.1894047945,14,26.694643684114734,2018,MLBS,POINT (541010.5292544134 4138959.189404794),42
18,18,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4133000_image.shp,541106.2347670908,4133576.939662327,28,10.213772475804602,2018,MLBS,POINT (541106.2347670908 4133576.939662327),41
19,19,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4134000_image.shp,541784.338355936,4134193.6110825613,28,10.184635048934393,2018,MLBS,POINT (541784.338355936 4134193.611082561),41
20,20,/orange/idtrees-collab/draped/2018_MLBS_3_538000_4131000_image.shp,538151.2289680934,4131678.812064033,20,16.629964615821837,2018,MLBS,POINT (538151.2289680934 4131678.812064033),41
21,21,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4134000_image.shp,536233.351402176,4134780.431994048,14,32.17098784037998,2018,MLBS,POINT (536233.351402176 4134780.431994048),41
22,22,/orange/idtrees-collab/draped/2018_MLBS_3_543000_4141000_image.shp,543243.052209041,4141935.634316592,12,25.451694164276123,2018,MLBS,POINT (543243.052209041 4141935.634316592),71
23,23,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4140000_image.shp,541155.2036749911,4140648.92310528,24,23.025860556761426,2018,MLBS,POINT (541155.2036749911 4140648.92310528),41
24,24,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4135000_image.shp,541712.3429154879,4135289.317001349,16,19.317315808534623,2018,MLBS,POINT (541712.3429154879 4135289.317001349),41
25,25,/orange/idtrees-collab/draped/2018_MLBS_3_542000_4139000_image.shp,542427.287490044,4139331.2988630994,19,21.287060513747363,2018,MLBS,POINT (542427.287490044 4139331.298863099),41
26,26,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4139000_image.shp,541464.54129532,4139449.0623536003,25,15.795188850402832,2018,MLBS,POINT (541464.54129532 4139449.0623536),43
27,27,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4131000_image.shp,545056.5572325168,4131971.911964857,0,,2018,MLBS,POINT (545056.5572325168 4131971.911964857),81
28,28,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4131000_image.shp,545065.2388167245,4131740.3785591763,0,,2018,MLBS,POINT (545065.2388167245 4131740.378559176),81
29,29,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4139000_image.shp,536567.5475732983,4139394.398857874,17,25.520388732236967,2018,MLBS,POINT (536567.5475732983 4139394.398857874),41
30,30,/orange/idtrees-collab/draped/2018_MLBS_3_538000_4140000_image.shp,538947.5861604214,4140683.075780116,22,25.986448055614122,2018,MLBS,POINT (538947.5861604214 4140683.075780116),41
31,31,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4140000_image.shp,537862.123149186,4140016.795635073,16,27.508799369335176,2018,MLBS,POINT (537862.123149186 4140016.795635073),41
32,32,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4133000_image.shp,536715.1605113705,4133791.547929645,24,19.58007726113001,2018,MLBS,POINT (536715.1605113705 4133791.547929645),41
33,33,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4140000_image.shp,536216.1809121018,4140740.964230568,27,19.79210730164139,2018,MLBS,POINT (536216.1809121018 4140740.964230568),43
34,34,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4135000_image.shp,537612.5335858611,4135917.66528813,19,30.29769884410657,2018,MLBS,POINT (537612.5335858611 4135917.66528813),43
35,35,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4140000_image.shp,545916.2891472505,4140452.486487798,20,20.204778906345364,2018,MLBS,POINT (545916.2891472505 4140452.486487798),41
36,36,/orange/idtrees-collab/draped/2018_MLBS_3_542000_4139000_image.shp,542458.7920451277,4139907.3422727324,19,19.585846760398464,2018,MLBS,POINT (542458.7920451277 4139907.342272732),41
37,37,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4132000_image.shp,540658.5391939974,4132415.7178660976,17,21.379691303477568,2018,MLBS,POINT (540658.5391939974 4132415.717866098),41
38,38,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4138000_image.shp,540552.0386894258,4138319.1315391324,18,26.142450655831233,2018,MLBS,POINT (540552.0386894258 4138319.131539132),43
39,39,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4141000_image.shp,536041.9606919514,4141992.2165664886,9,22.140837720235186,2018,MLBS,POINT (536041.9606919514 4141992.216566489),41
40,40,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4132000_image.shp,541108.1820089588,4132240.1832337086,22,19.643965996828946,2018,MLBS,POINT (541108.1820089588 4132240.183233709),41
41,41,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4135000_image.shp,540095.5805012486,4135155.351512102,19,15.313657915717675,2018,MLBS,POINT (540095.5805012486 4135155.351512102),41
42,42,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4132000_image.shp,545645.4641363207,4132031.358030085,0,,2018,MLBS,POINT (545645.4641363207 4132031.358030085),81
43,43,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4139000_image.shp,545243.2097553696,4139681.659307237,19,18.81900210330361,2018,MLBS,POINT (545243.2097553696 4139681.659307237),41
44,44,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4140000_image.shp,537295.9442486619,4140732.0926391687,25,24.369239608001703,2018,MLBS,POINT (537295.9442486619 4140732.092639169),43
45,45,/orange/idtrees-collab/draped/2018_MLBS_3_546000_4140000_image.shp,546465.472880416,4140795.771511333,22,14.675988683700563,2018,MLBS,POINT (546465.472880416 4140795.771511333),41
46,46,/orange/idtrees-collab/draped/2018_MLBS_3_545000_4139000_image.shp,545574.6270913155,4139954.913846706,16,18.9288520115614,2018,MLBS,POINT (545574.6270913155 4139954.913846706),52
47,47,/orange/idtrees-collab/draped/2018_MLBS_3_542000_4142000_image.shp,542103.5605307271,4142602.547730052,23,26.579023883653733,2018,MLBS,POINT (542103.5605307271 4142602.547730052),41
48,48,/orange/idtrees-collab/draped/2018_MLBS_3_538000_4138000_image.shp,538304.6750605344,4138049.554231837,0,,2018,MLBS,POINT (538304.6750605344 4138049.554231837),11
49,49,/orange/idtrees-collab/draped/2018_MLBS_3_541000_4133000_image.shp,541057.4511693977,4133476.9245718517,22,11.632326814478095,2018,MLBS,POINT (541057.4511693977 4133476.924571852),41
50,50,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4131000_image.shp,544040.8768761288,4131789.523780383,3,5.136589867273966,2018,MLBS,POINT (544040.8768761288 4131789.523780383),81
51,51,/orange/idtrees-collab/draped/2018_MLBS_3_546000_4134000_image.shp,546714.6904066885,4134513.4158508205,23,18.829857406201565,2018,MLBS,POINT (546714.6904066885 4134513.41585082),41
52,52,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4139000_image.shp,540058.655571676,4139339.290446718,28,15.992961376053946,2018,MLBS,POINT (540058.655571676 4139339.290446718),43
53,53,/orange/idtrees-collab/draped/2018_MLBS_3_536000_4142000_image.shp,536017.525991327,4142606.7642166317,20,24.98732402229309,2018,MLBS,POINT (536017.525991327 4142606.764216632),41
54,54,/orange/idtrees-collab/draped/2018_MLBS_3_544000_4140000_image.shp,544271.9023033566,4140530.321835892,22,18.485057179711077,2018,MLBS,POINT (544271.9023033566 4140530.321835892),42
55,55,/orange/idtrees-collab/draped/2018_MLBS_3_537000_4135000_image.shp,537940.02462121,4135379.136423941,22,14.778053205880251,2018,MLBS,POINT (537940.0246212099 4135379.136423941),41
56,56,/orange/idtrees-collab/draped/2018_MLBS_3_540000_4136000_image.shp,540578.3671179682,4136000.255938418,4,23.73335023880005,2018,MLBS,POINT (540578.3671179682 4136000.255938418),43
57,57,/orange/idtrees-collab/draped/2018_MLBS_3_538000_4132000_image.shp,538760.4060940703,4132444.4859360713,7,5.1635728907585134,2018,MLBS,POINT (538760.4060940703 4132444.485936071),43
