,Unnamed: 0,path,plot_center_x,plot_center_y,tree_density,average_height,year,site,geometry,nlcd
0,0,/orange/idtrees-collab/draped/2019_WOOD_3_494000_5222000_image.shp,494327.6832794082,5222637.662223952,0,,2019,WOOD,POINT (494327.6832794082 5222637.662223952),71
1,1,/orange/idtrees-collab/draped/2019_WOOD_3_482000_5222000_image.shp,482919.78797654534,5222734.405087985,0,,2019,WOOD,POINT (482919.7879765453 5222734.405087985),71
2,2,/orange/idtrees-collab/draped/2019_WOOD_3_494000_5220000_image.shp,494625.7395395533,5220321.275060625,0,,2019,WOOD,POINT (494625.7395395533 5220321.275060625),82
3,3,/orange/idtrees-collab/draped/2019_WOOD_3_489000_5220000_image.shp,489490.1085327418,5220226.394382194,0,,2019,WOOD,POINT (489490.1085327418 5220226.394382194),71
4,4,/orange/idtrees-collab/draped/2019_WOOD_3_484000_5215000_image.shp,484656.9245892582,5215605.489029225,0,,2019,WOOD,POINT (484656.9245892582 5215605.489029225),71
5,5,/orange/idtrees-collab/draped/2019_WOOD_3_482000_5223000_image.shp,482309.27624854655,5223290.086474353,0,,2019,WOOD,POINT (482309.2762485466 5223290.086474353),71
6,6,/orange/idtrees-collab/draped/2019_WOOD_3_484000_5219000_image.shp,484534.3066386668,5219882.1491197,1,3.028000116348267,2019,WOOD,POINT (484534.3066386668 5219882.1491197),71
7,7,/orange/idtrees-collab/draped/2019_WOOD_3_496000_5217000_image.shp,496153.4827984351,5217701.812161664,0,,2019,WOOD,POINT (496153.4827984351 5217701.812161664),71
8,8,/orange/idtrees-collab/draped/2019_WOOD_3_486000_5225000_image.shp,486315.238949174,5225174.032399735,0,,2019,WOOD,POINT (486315.238949174 5225174.032399735),71
9,9,/orange/idtrees-collab/draped/2019_WOOD_3_480000_5225000_image.shp,480390.8949335943,5225903.506433397,0,,2019,WOOD,POINT (480390.8949335943 5225903.506433397),82
10,10,/orange/idtrees-collab/draped/2019_WOOD_3_485000_5225000_image.shp,485656.9917201821,5225624.461477658,0,,2019,WOOD,POINT (485656.9917201821 5225624.461477658),82
11,11,/orange/idtrees-collab/draped/2019_WOOD_3_486000_5219000_image.shp,486533.1385153959,5219382.887215013,0,,2019,WOOD,POINT (486533.1385153959 5219382.887215013),11
12,12,/orange/idtrees-collab/draped/2019_WOOD_3_494000_5217000_image.shp,494370.79170926474,5217924.498174521,0,,2019,WOOD,POINT (494370.7917092647 5217924.498174521),11
13,13,/orange/idtrees-collab/draped/2019_WOOD_3_481000_5225000_image.shp,481726.6450803687,5225279.248715082,0,,2019,WOOD,POINT (481726.6450803687 5225279.248715082),71
14,14,/orange/idtrees-collab/draped/2019_WOOD_3_481000_5225000_image.shp,481384.9050477962,5225408.55645156,0,,2019,WOOD,POINT (481384.9050477962 5225408.55645156),71
15,15,/orange/idtrees-collab/draped/2019_WOOD_3_484000_5223000_image.shp,484793.8991076737,5223137.268939377,0,,2019,WOOD,POINT (484793.8991076737 5223137.268939377),21
16,16,/orange/idtrees-collab/draped/2019_WOOD_3_478000_5223000_image.shp,478819.1695650241,5223378.781660099,0,,2019,WOOD,POINT (478819.1695650241 5223378.781660099),82
